"n_captures","n_fetch_success","n_redirects","crawl","redirects"
"39069","25716","7238","CC-MAIN-2022-21","2"
"2664","1231","1059","CC-MAIN-2022-21","3"
"797","349","366","CC-MAIN-2022-21","4"
"299","108","155","CC-MAIN-2022-21","5"
"911159","452300","280727","CC-MAIN-2022-27","0"
"300161","201280","58803","CC-MAIN-2022-27","1"
"39722","26039","7331","CC-MAIN-2022-27","2"
"2660","1273","1030","CC-MAIN-2022-27","3"
"826","373","370","CC-MAIN-2022-27","4"
"319","120","158","CC-MAIN-2022-27","5"
"963079","463452","316060","CC-MAIN-2022-33","0"
"155367","107884","26946","CC-MAIN-2022-33","1"
"14905","10733","1743","CC-MAIN-2022-33","2"
"602","268","235","CC-MAIN-2022-33","3"
"133","47","73","CC-MAIN-2022-33","4"
"66","26","32","CC-MAIN-2022-33","5"
"856350","431717","254401","CC-MAIN-2022-40","0"
"282538","188843","55585","CC-MAIN-2022-40","1"
"38512","25041","7437","CC-MAIN-2022-40","2"
"2727","1293","1094","CC-MAIN-2022-40","3"
"828","368","374","CC-MAIN-2022-40","4"
"311","112","168","CC-MAIN-2022-40","5"
"955297","448246","322558","CC-MAIN-2022-49","0"
"296865","194932","61559","CC-MAIN-2022-49","1"
"40523","25878","8207","CC-MAIN-2022-49","2"
"3132","1422","1305","CC-MAIN-2022-49","3"
"977","393","477","CC-MAIN-2022-49","4"
"426","140","231","CC-MAIN-2022-49","5"
"857983","431754","251760","CC-MAIN-2023-06","0"
"288716","192802","56344","CC-MAIN-2023-06","1"
"39823","25719","7774","CC-MAIN-2023-06","2"
"3135","1475","1258","CC-MAIN-2023-06","3"
"1004","410","495","CC-MAIN-2023-06","4"
"452","153","252","CC-MAIN-2023-06","5"
"840379","424464","245446","CC-MAIN-2023-14","0"
"291696","192950","57937","CC-MAIN-2023-14","1"
"40860","25997","8303","CC-MAIN-2023-14","2"
"3381","1606","1304","CC-MAIN-2023-14","3"
"1032","474","470","CC-MAIN-2023-14","4"
"490","166","266","CC-MAIN-2023-14","5"
"870867","429977","261314","CC-MAIN-2023-23","0"
"299349","194367","62082","CC-MAIN-2023-23","1"
"42788","26439","9280","CC-MAIN-2023-23","2"
"3890","1716","1660","CC-MAIN-2023-23","3"
"1281","522","623","CC-MAIN-2023-23","4"
"626","201","358","CC-MAIN-2023-23","5"
"891105","423845","276311","CC-MAIN-2023-40","0"
"174254","120140","30375","CC-MAIN-2023-40","1"
"17689","12248","2492","CC-MAIN-2023-40","2"
